     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -24.00215     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.67115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.34115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.01015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.68015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.34915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.01915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.68815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.35815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70615     0.00121     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00122
   -19.37515     3.05424     0.01424     0.00120     0.00677     0.00000     0.00000     0.00000     0.00000     0.00000     3.07645
   -19.04515     7.91975     0.07865     0.00318     0.09002     0.00000     0.00000     0.00000     0.00000     0.00000     8.09160
   -18.71415     8.84781     0.16687     0.00355     0.22162     0.00000     0.00000     0.00000     0.00000     0.00000     9.23984
   -18.38415     6.53501     0.26770     0.00267     0.16797     0.00000     0.00000     0.00000     0.00000     0.00000     6.97335
   -18.05315     8.49973     0.42596     0.00338     0.34069     0.00000     0.00000     0.00000     0.00000     0.00000     9.26976
   -17.72315     7.86398     0.37902     0.00329     0.53358     0.00000     0.00000     0.00000     0.00000     0.00000     8.77987
   -17.39215     6.98876     0.43553     0.00295     0.53531     0.00000     0.00000     0.00000     0.00000     0.00000     7.96255
   -17.06215     8.73859     0.63707     0.00394     0.81689     0.00000     0.00000     0.00000     0.00000     0.00000    10.19649
   -16.73115     7.49326     0.90919     0.00332     0.52081     0.00000     0.00000     0.00000     0.00000     0.00000     8.92658
   -16.40115     6.33513     0.79010     0.00277     0.57951     0.00000     0.00000     0.00000     0.00000     0.00000     7.70751
   -16.07015     6.95099     0.95749     0.00368     0.75195     0.00000     0.00000     0.00000     0.00000     0.00000     8.66412
   -15.74015     9.16538     0.99718     0.00452     1.47172     0.00000     0.00000     0.00000     0.00000     0.00000    11.63881
   -15.40915     7.59202     0.92737     0.00345     1.29134     0.00000     0.00000     0.00000     0.00000     0.00000     9.81419
   -15.07915     6.45341     0.93746     0.00305     1.08887     0.00000     0.00000     0.00000     0.00000     0.00000     8.48280
   -14.74815     7.10591     1.21817     0.00351     1.12039     0.00000     0.00000     0.00000     0.00000     0.00000     9.44798
   -14.41815     9.94566     1.76977     0.00502     1.52703     0.00000     0.00000     0.00000     0.00000     0.00000    13.24748
   -14.08715     9.55096     1.89646     0.00536     1.16913     0.00000     0.00000     0.00000     0.00000     0.00000    12.62191
   -13.75715     5.31457     0.77591     0.00520     1.06258     0.00000     0.00000     0.00000     0.00000     0.00000     7.15826
   -13.42615     4.41565     0.78136     0.00257     0.87558     0.00000     0.00000     0.00000     0.00000     0.00000     6.07515
   -13.09615     3.70523     1.17503     0.00207     0.84513     0.00000     0.00000     0.00000     0.00000     0.00000     5.72746
   -12.76515     3.76299     2.21537     0.00256     1.80854     0.00000     0.00000     0.00000     0.00000     0.00000     7.78946
   -12.43515     6.63006     2.61818     0.00466     4.36524     0.00000     0.00000     0.00000     0.00000     0.00000    13.61814
   -12.10415     6.60410     2.98337     0.00496     3.43335     0.00000     0.00000     0.00000     0.00000     0.00000    13.02578
   -11.77415     5.06385     2.57447     0.00391     2.34929     0.00000     0.00000     0.00000     0.00000     0.00000     9.99152
   -11.44315     4.66722     2.79218     0.00410     1.92856     0.00000     0.00000     0.00000     0.00000     0.00000     9.39206
   -11.11315     4.44123     2.62569     0.00559     2.06368     0.00000     0.00000     0.00000     0.00000     0.00000     9.13619
   -10.78215     5.01003     2.80740     0.00857     3.13414     0.00000     0.00000     0.00000     0.00000     0.00000    10.96014
   -10.45215     3.57599     2.97938     0.00466     2.11164     0.00000     0.00000     0.00000     0.00000     0.00000     8.67167
   -10.12215     3.47530     3.37554     0.00518     3.46893     0.00000     0.00000     0.00000     0.00000     0.00000    10.32495
    -9.79115     3.41918     3.30479     0.00653     3.45607     0.00000     0.00000     0.00000     0.00000     0.00000    10.18657
    -9.46115     2.60575     3.75742     0.01837     4.04539     0.00000     0.00000     0.00000     0.00000     0.00000    10.42693
    -9.13015     3.43586     4.86283     0.02464     5.35365     0.00000     0.00000     0.00000     0.00000     0.00000    13.67698
    -8.80015     3.13006     4.12850     0.01186     4.88077     0.00000     0.00000     0.00000     0.00000     0.00000    12.15119
    -8.46915     2.85876     4.19199     0.01342     4.91992     0.00000     0.00000     0.00000     0.00000     0.00000    11.98409
    -8.13915     2.59450     5.75283     0.05012     5.86507     0.00000     0.00000     0.00000     0.00000     0.00000    14.26252
    -7.80815     2.13764     6.47897     0.22173     4.66646     0.00000     0.00000     0.00000     0.00000     0.00000    13.50480
    -7.47815     2.02210     6.18156     1.12304     4.68822     0.00000     0.00000     0.00000     0.00000     0.00000    14.01492
    -7.14715     2.14792     5.68237     4.73579     6.49627     0.00000     0.00000     0.00000     0.00000     0.00000    19.06235
    -6.81715     1.95863     7.93163     5.51257     8.83169     0.00000     0.00000     0.00000     0.00000     0.00000    24.23452
    -6.48615     2.04545    10.87870     4.62975    11.53840     0.00000     0.00000     0.00000     0.00000     0.00000    29.09230
    -6.15615     1.03733    11.34650     4.21433     9.93343     0.00000     0.00000     0.00000     0.00000     0.00000    26.53159
    -5.82515     0.88069     8.43161     5.12790     9.23668     0.00000     0.00000     0.00000     0.00000     0.00000    23.67688
    -5.49515     0.88491     8.14118     5.20410     8.55858     0.00000     0.00000     0.00000     0.00000     0.00000    22.78877
    -5.16415     0.75324     7.80588     4.87038     5.57598     0.00000     0.00000     0.00000     0.00000     0.00000    19.00548
    -4.83415     0.71470     6.10706     5.72378     6.43496     0.00000     0.00000     0.00000     0.00000     0.00000    18.98050
    -4.50315     0.49336     4.53751     5.78427     6.77442     0.00000     0.00000     0.00000     0.00000     0.00000    17.58956
    -4.17315     0.33114     3.86590     4.87860     5.18610     0.00000     0.00000     0.00000     0.00000     0.00000    14.26174
    -3.84215     0.18708     5.33824     5.18304     3.94958     0.00000     0.00000     0.00000     0.00000     0.00000    14.65794
    -3.51215     0.20061     5.15066     6.98098     3.90145     0.00000     0.00000     0.00000     0.00000     0.00000    16.23370
    -3.18115     0.12514     4.40058     7.02727     3.95191     0.00000     0.00000     0.00000     0.00000     0.00000    15.50490
    -2.85115     0.04466     1.90268     7.09287     2.62169     0.00000     0.00000     0.00000     0.00000     0.00000    11.66190
    -2.52015     0.02614     0.50458     7.92649     0.64702     0.00000     0.00000     0.00000     0.00000     0.00000     9.10423
    -2.19015     0.03228     0.08950    10.87170     0.08358     0.00000     0.00000     0.00000     0.00000     0.00000    11.07705
    -1.85915     0.02681     0.04199     8.81072     0.03453     0.00000     0.00000     0.00000     0.00000     0.00000     8.91406
    -1.52915     0.01309     0.01572     5.15536     0.01402     0.00000     0.00000     0.00000     0.00000     0.00000     5.19819
    -1.19915     0.00841     0.00867     4.27420     0.00877     0.00000     0.00000     0.00000     0.00000     0.00000     4.30005
    -0.86815     0.00623     0.00562     3.33692     0.00604     0.00000     0.00000     0.00000     0.00000     0.00000     3.35481
    -0.53815     0.00339     0.00286     1.84369     0.00296     0.00000     0.00000     0.00000     0.00000     0.00000     1.85290
    -0.20715     0.00126     0.00113     0.70006     0.00092     0.00000     0.00000     0.00000     0.00000     0.00000     0.70337
     0.12285     0.00183     0.00116     0.76711     0.00104     0.00000     0.00000     0.00000     0.00000     0.00000     0.77113
     0.45385     0.00387     0.00134     0.76751     0.00160     0.00000     0.00000     0.00000     0.00000     0.00000     0.77431
     0.78385     0.00627     0.00227     1.15626     0.00256     0.00000     0.00000     0.00000     0.00000     0.00000     1.16736
     1.11485     0.00565     0.00428     3.10068     0.00441     0.00000     0.00000     0.00000     0.00000     0.00000     3.11501
     1.44485     0.01688     0.00823     5.07915     0.00915     0.00000     0.00000     0.00000     0.00000     0.00000     5.11341
     1.77585     0.02987     0.01866     9.31732     0.01847     0.00000     0.00000     0.00000     0.00000     0.00000     9.38432
     2.10585     0.03826     0.02321    10.64630     0.02074     0.00000     0.00000     0.00000     0.00000     0.00000    10.72851
     2.43685     0.02410     0.01319     6.25169     0.01296     0.00000     0.00000     0.00000     0.00000     0.00000     6.30194
     2.76685     0.02009     0.01050     4.60111     0.00870     0.00000     0.00000     0.00000     0.00000     0.00000     4.64040
     3.09785     0.01981     0.00889     3.93075     0.00797     0.00000     0.00000     0.00000     0.00000     0.00000     3.96742
     3.42785     0.03967     0.00849     3.95239     0.00901     0.00000     0.00000     0.00000     0.00000     0.00000     4.00956
     3.75885     0.04110     0.00627     3.31535     0.00798     0.00000     0.00000     0.00000     0.00000     0.00000     3.37071
     4.08885     0.10697     0.00502     1.34977     0.00620     0.00000     0.00000     0.00000     0.00000     0.00000     1.46797
     4.41985     0.12161     0.00734     1.07205     0.01190     0.00000     0.00000     0.00000     0.00000     0.00000     1.21290
     4.74985     0.10907     0.01024     0.81199     0.01051     0.00000     0.00000     0.00000     0.00000     0.00000     0.94181
     5.08085     0.09120     0.01108     0.38457     0.00821     0.00000     0.00000     0.00000     0.00000     0.00000     0.49506
     5.41085     0.11962     0.01588     0.43276     0.01526     0.00000     0.00000     0.00000     0.00000     0.00000     0.58351
     5.74185     0.11307     0.01483     0.41024     0.01718     0.00000     0.00000     0.00000     0.00000     0.00000     0.55532
     6.07185     0.09192     0.01322     0.32850     0.01527     0.00000     0.00000     0.00000     0.00000     0.00000     0.44891
     6.40285     0.14061     0.01905     0.42883     0.02079     0.00000     0.00000     0.00000     0.00000     0.00000     0.60928
     6.73285     0.12574     0.02452     0.52588     0.02706     0.00000     0.00000     0.00000     0.00000     0.00000     0.70321
     7.06385     0.11814     0.02870     0.59925     0.03346     0.00000     0.00000     0.00000     0.00000     0.00000     0.77955
     7.39385     0.10265     0.03063     0.60843     0.03423     0.00000     0.00000     0.00000     0.00000     0.00000     0.77594
     7.72385     0.06434     0.02329     0.38732     0.02469     0.00000     0.00000     0.00000     0.00000     0.00000     0.49965
     8.05485     0.01874     0.00804     0.10142     0.00890     0.00000     0.00000     0.00000     0.00000     0.00000     0.13711
     8.38485     0.00085     0.00036     0.00392     0.00045     0.00000     0.00000     0.00000     0.00000     0.00000     0.00559
     8.71585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.04585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.37685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.70685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.03785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.36785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.69885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.02885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.35985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.68985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    12.02085     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00003
    12.35085     0.00023     0.00032     0.00087     0.00025     0.00000     0.00000     0.00000     0.00000     0.00000     0.00167
    12.68185     0.00001     0.00001     0.00003     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00005
    13.01185     0.00026     0.00038     0.00089     0.00037     0.00000     0.00000     0.00000     0.00000     0.00000     0.00190
    13.34285     0.00008     0.00011     0.00020     0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00052
    13.67285     0.00041     0.00061     0.00102     0.00062     0.00000     0.00000     0.00000     0.00000     0.00000     0.00266
    14.00385     0.00068     0.00079     0.00173     0.00083     0.00000     0.00000     0.00000     0.00000     0.00000     0.00402
    14.33385     0.00022     0.00024     0.00071     0.00031     0.00000     0.00000     0.00000     0.00000     0.00000     0.00149
    14.66485     0.00076     0.00094     0.00204     0.00099     0.00000     0.00000     0.00000     0.00000     0.00000     0.00472
    14.99485     0.00153     0.00213     0.00381     0.00206     0.00000     0.00000     0.00000     0.00000     0.00000     0.00953
    15.32585     0.00288     0.00364     0.00715     0.00368     0.00000     0.00000     0.00000     0.00000     0.00000     0.01735
    15.65585     0.00220     0.00298     0.00602     0.00305     0.00000     0.00000     0.00000     0.00000     0.00000     0.01424
    15.98685     0.00277     0.00376     0.00735     0.00401     0.00000     0.00000     0.00000     0.00000     0.00000     0.01789
    16.31685     0.00237     0.00340     0.00644     0.00335     0.00000     0.00000     0.00000     0.00000     0.00000     0.01557
    16.64685     0.00293     0.00406     0.00742     0.00415     0.00000     0.00000     0.00000     0.00000     0.00000     0.01856
    16.97785     0.00365     0.00529     0.00832     0.00533     0.00000     0.00000     0.00000     0.00000     0.00000     0.02259
    17.30785     0.00515     0.00761     0.01261     0.00757     0.00000     0.00000     0.00000     0.00000     0.00000     0.03294
    17.63885     0.00489     0.00774     0.01245     0.00771     0.00000     0.00000     0.00000     0.00000     0.00000     0.03279
    17.96885     0.00456     0.00692     0.01114     0.00733     0.00000     0.00000     0.00000     0.00000     0.00000     0.02994
    18.29985     0.00478     0.00738     0.01149     0.00779     0.00000     0.00000     0.00000     0.00000     0.00000     0.03144
    18.62985     0.00534     0.00873     0.01229     0.00865     0.00000     0.00000     0.00000     0.00000     0.00000     0.03501
    18.96085     0.00709     0.01170     0.01695     0.01139     0.00000     0.00000     0.00000     0.00000     0.00000     0.04713
    19.29085     0.00652     0.01080     0.01497     0.01067     0.00000     0.00000     0.00000     0.00000     0.00000     0.04297
    19.62185     0.00892     0.01432     0.01933     0.01453     0.00000     0.00000     0.00000     0.00000     0.00000     0.05710
    19.95185     0.00880     0.01441     0.01849     0.01466     0.00000     0.00000     0.00000     0.00000     0.00000     0.05635
    20.28285     0.00925     0.01506     0.01812     0.01490     0.00000     0.00000     0.00000     0.00000     0.00000     0.05733
    20.61285     0.01523     0.02556     0.02892     0.02555     0.00000     0.00000     0.00000     0.00000     0.00000     0.09525
    20.94385     0.01727     0.02834     0.03084     0.02800     0.00000     0.00000     0.00000     0.00000     0.00000     0.10446
    21.27385     0.01829     0.03092     0.03328     0.03037     0.00000     0.00000     0.00000     0.00000     0.00000     0.11285
    21.60485     0.01947     0.03187     0.03211     0.03098     0.00000     0.00000     0.00000     0.00000     0.00000     0.11443
    21.93485     0.02850     0.04577     0.04345     0.04428     0.00000     0.00000     0.00000     0.00000     0.00000     0.16200
    22.26585     0.03163     0.04993     0.04536     0.04771     0.00000     0.00000     0.00000     0.00000     0.00000     0.17463
    22.59585     0.03307     0.04824     0.04341     0.04827     0.00000     0.00000     0.00000     0.00000     0.00000     0.17300
    22.92685     0.04678     0.06524     0.05451     0.06364     0.00000     0.00000     0.00000     0.00000     0.00000     0.23017
    23.25685     0.06703     0.09153     0.07227     0.08881     0.00000     0.00000     0.00000     0.00000     0.00000     0.31963
    23.58785     0.07467     0.10055     0.07642     0.09761     0.00000     0.00000     0.00000     0.00000     0.00000     0.34924
    23.91785     0.08910     0.11945     0.08810     0.12143     0.00000     0.00000     0.00000     0.00000     0.00000     0.41808
    24.24885     0.09717     0.13780     0.09945     0.14432     0.00000     0.00000     0.00000     0.00000     0.00000     0.47875
    24.57885     0.07767     0.11892     0.08300     0.12056     0.00000     0.00000     0.00000     0.00000     0.00000     0.40015
    24.90985     0.06940     0.11336     0.07834     0.11671     0.00000     0.00000     0.00000     0.00000     0.00000     0.37781
    25.23985     0.06933     0.11460     0.08015     0.11906     0.00000     0.00000     0.00000     0.00000     0.00000     0.38314
    25.57085     0.05858     0.10393     0.07535     0.10740     0.00000     0.00000     0.00000     0.00000     0.00000     0.34527
    25.90085     0.05813     0.10505     0.07567     0.10820     0.00000     0.00000     0.00000     0.00000     0.00000     0.34705
    26.23085     0.05471     0.10200     0.07630     0.10520     0.00000     0.00000     0.00000     0.00000     0.00000     0.33821
    26.56185     0.05238     0.09945     0.07419     0.10346     0.00000     0.00000     0.00000     0.00000     0.00000     0.32948
    26.89185     0.04916     0.09321     0.07470     0.09819     0.00000     0.00000     0.00000     0.00000     0.00000     0.31527
    27.22285     0.04283     0.08231     0.06693     0.08467     0.00000     0.00000     0.00000     0.00000     0.00000     0.27674
    27.55285     0.04348     0.08324     0.07043     0.09028     0.00000     0.00000     0.00000     0.00000     0.00000     0.28743
    27.88385     0.04393     0.08282     0.07238     0.08873     0.00000     0.00000     0.00000     0.00000     0.00000     0.28785
    28.21385     0.03695     0.07051     0.06393     0.07261     0.00000     0.00000     0.00000     0.00000     0.00000     0.24400
    28.54485     0.03475     0.06432     0.06112     0.06832     0.00000     0.00000     0.00000     0.00000     0.00000     0.22851
    28.87485     0.03584     0.06407     0.06499     0.06955     0.00000     0.00000     0.00000     0.00000     0.00000     0.23446
    29.20585     0.03310     0.05715     0.06201     0.06065     0.00000     0.00000     0.00000     0.00000     0.00000     0.21291
    29.53585     0.03322     0.05749     0.06250     0.05987     0.00000     0.00000     0.00000     0.00000     0.00000     0.21308
    29.86685     0.02948     0.04753     0.05863     0.05091     0.00000     0.00000     0.00000     0.00000     0.00000     0.18655
    30.19685     0.03101     0.04893     0.06308     0.05175     0.00000     0.00000     0.00000     0.00000     0.00000     0.19477
    30.52785     0.02787     0.04320     0.05752     0.04530     0.00000     0.00000     0.00000     0.00000     0.00000     0.17389
    30.85785     0.02863     0.04108     0.06022     0.04340     0.00000     0.00000     0.00000     0.00000     0.00000     0.17333
    31.18885     0.02837     0.03935     0.06262     0.04213     0.00000     0.00000     0.00000     0.00000     0.00000     0.17246
    31.51885     0.02753     0.03654     0.06095     0.03780     0.00000     0.00000     0.00000     0.00000     0.00000     0.16282
    31.84985     0.02623     0.03373     0.05909     0.03521     0.00000     0.00000     0.00000     0.00000     0.00000     0.15426
    32.17985     0.02480     0.03065     0.05689     0.03232     0.00000     0.00000     0.00000     0.00000     0.00000     0.14466
    32.51085     0.02444     0.02887     0.05725     0.03031     0.00000     0.00000     0.00000     0.00000     0.00000     0.14086
    32.84085     0.02505     0.02919     0.05973     0.03070     0.00000     0.00000     0.00000     0.00000     0.00000     0.14466
    33.17185     0.02496     0.02824     0.06048     0.02959     0.00000     0.00000     0.00000     0.00000     0.00000     0.14327
    33.50185     0.02387     0.02614     0.05911     0.02721     0.00000     0.00000     0.00000     0.00000     0.00000     0.13632
    33.83285     0.02363     0.02537     0.05874     0.02631     0.00000     0.00000     0.00000     0.00000     0.00000     0.13405
    34.16285     0.02513     0.02619     0.06285     0.02790     0.00000     0.00000     0.00000     0.00000     0.00000     0.14207
    34.49385     0.02646     0.02692     0.06664     0.02818     0.00000     0.00000     0.00000     0.00000     0.00000     0.14820
    34.82385     0.02545     0.02536     0.06360     0.02686     0.00000     0.00000     0.00000     0.00000     0.00000     0.14128
    35.15385     0.02563     0.02498     0.06518     0.02670     0.00000     0.00000     0.00000     0.00000     0.00000     0.14249
    35.48485     0.02411     0.02384     0.06101     0.02519     0.00000     0.00000     0.00000     0.00000     0.00000     0.13416
    35.81485     0.02420     0.02388     0.06130     0.02523     0.00000     0.00000     0.00000     0.00000     0.00000     0.13460
    36.14585     0.02333     0.02284     0.05982     0.02457     0.00000     0.00000     0.00000     0.00000     0.00000     0.13056
    36.47585     0.02459     0.02451     0.06125     0.02629     0.00000     0.00000     0.00000     0.00000     0.00000     0.13664
    36.80685     0.02440     0.02437     0.06026     0.02581     0.00000     0.00000     0.00000     0.00000     0.00000     0.13484
    37.13685     0.02469     0.02481     0.06113     0.02654     0.00000     0.00000     0.00000     0.00000     0.00000     0.13717
    37.46785     0.02725     0.02761     0.06530     0.02920     0.00000     0.00000     0.00000     0.00000     0.00000     0.14935
    37.79785     0.02681     0.02703     0.06386     0.02908     0.00000     0.00000     0.00000     0.00000     0.00000     0.14677
    38.12885     0.02722     0.02795     0.06374     0.03002     0.00000     0.00000     0.00000     0.00000     0.00000     0.14893
    38.45885     0.02847     0.02982     0.06583     0.03178     0.00000     0.00000     0.00000     0.00000     0.00000     0.15589
    38.78985     0.03055     0.03232     0.07008     0.03476     0.00000     0.00000     0.00000     0.00000     0.00000     0.16771
    39.11985     0.03221     0.03485     0.07226     0.03712     0.00000     0.00000     0.00000     0.00000     0.00000     0.17645
    39.45085     0.03233     0.03528     0.07101     0.03688     0.00000     0.00000     0.00000     0.00000     0.00000     0.17550
    39.78085     0.03198     0.03415     0.06738     0.03650     0.00000     0.00000     0.00000     0.00000     0.00000     0.17001
    40.11185     0.03341     0.03619     0.06882     0.03830     0.00000     0.00000     0.00000     0.00000     0.00000     0.17671
    40.44185     0.03338     0.03620     0.06726     0.03840     0.00000     0.00000     0.00000     0.00000     0.00000     0.17525
    40.77285     0.03766     0.04129     0.07493     0.04412     0.00000     0.00000     0.00000     0.00000     0.00000     0.19800
    41.10285     0.03750     0.04093     0.07214     0.04347     0.00000     0.00000     0.00000     0.00000     0.00000     0.19404
    41.43385     0.04173     0.04625     0.07906     0.04875     0.00000     0.00000     0.00000     0.00000     0.00000     0.21579
    41.76385     0.04046     0.04450     0.07414     0.04688     0.00000     0.00000     0.00000     0.00000     0.00000     0.20598
