     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -24.00215     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.67115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.34115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.01015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.68015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.34915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.01915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.68815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.35815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37515     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.04515     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.71415     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.38415     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.05315     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.72315     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.39215     0.00045     0.00002     0.00000     0.00002     0.00001     0.00000     0.00006     0.00000     0.00001     0.00057
   -17.06215     0.05511     0.01573     0.00011     0.01556     0.00643     0.00014     0.00799     0.00014     0.00628     0.10749
   -16.73115     0.00838     0.00728     0.00002     0.00729     0.00288     0.00006     0.00122     0.00007     0.00310     0.03029
   -16.40115     0.00035     0.00003     0.00001     0.00003     0.00001     0.00000     0.00007     0.00000     0.00001     0.00051
   -16.07015     0.04690     0.01374     0.00105     0.01339     0.00667     0.00049     0.00945     0.00049     0.00644     0.09862
   -15.74015     0.01153     0.00994     0.00025     0.01012     0.00476     0.00035     0.00234     0.00036     0.00508     0.04472
   -15.40915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
   -15.07915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.74815     0.05336     0.02457     0.00034     0.01995     0.01341     0.00060     0.00830     0.00051     0.01095     0.13199
   -14.41815     0.29583     0.09126     0.00232     0.10236     0.05455     0.00244     0.04748     0.00272     0.05938     0.65833
   -14.08715     0.19280     0.11223     0.00281     0.10219     0.06929     0.00340     0.03386     0.00322     0.06664     0.58644
   -13.75715     0.05021     0.01662     0.00204     0.01805     0.01184     0.00126     0.01071     0.00135     0.01270     0.12477
   -13.42615     0.00291     0.00193     0.00006     0.00176     0.00125     0.00012     0.00043     0.00009     0.00106     0.00961
   -13.09615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.76515     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.43515     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.10415     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.77415     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.44315     0.02596     0.00020     0.00034     0.00052     0.00006     0.00002     0.00386     0.00004     0.00040     0.03140
   -11.11315     0.12116     0.01017     0.00174     0.01773     0.00647     0.00088     0.01833     0.00149     0.01201     0.18997
   -10.78215     0.12691     0.08882     0.00205     0.07448     0.06559     0.00870     0.01993     0.00750     0.05518     0.44916
   -10.45215     0.01077     0.01691     0.00017     0.02302     0.01345     0.00173     0.00173     0.00240     0.01830     0.08850
   -10.12215     0.00002     0.00001     0.00000     0.00001     0.00001     0.00000     0.00000     0.00000     0.00001     0.00007
    -9.79115     0.00916     0.00007     0.00041     0.00026     0.00007     0.00001     0.00245     0.00001     0.00022     0.01267
    -9.46115     0.10806     0.01007     0.00460     0.01484     0.01050     0.00106     0.02894     0.00138     0.01474     0.19419
    -9.13015     0.11051     0.06778     0.00411     0.06023     0.08418     0.00754     0.02943     0.00717     0.07671     0.44766
    -8.80015     0.00293     0.00529     0.00011     0.00800     0.00785     0.00069     0.00078     0.00090     0.01090     0.03745
    -8.46915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
    -8.13915     0.00065     0.00015     0.00162     0.00033     0.00025     0.00026     0.00009     0.00010     0.00021     0.00367
    -7.80815     0.06825     0.01020     0.01263     0.01028     0.03319     0.00983     0.01432     0.00963     0.03803     0.20637
    -7.47815     0.05724     0.00429     0.00191     0.00492     0.04904     0.00564     0.01218     0.00531     0.05115     0.19168
    -7.14715     1.06380     0.10647     0.01095     0.08320     0.29308     0.04481     0.26009     0.03936     0.23186     2.13362
    -6.81715     0.73084     0.16004     0.01689     0.19447     0.29936     0.06789     0.16799     0.07621     0.39076     2.10444
    -6.48615     0.26116     0.08930     0.02077     0.07177     0.30525     0.03718     0.05829     0.03855     0.29251     1.17477
    -6.15615     0.08698     0.01521     0.00218     0.01769     0.04213     0.00580     0.02847     0.00710     0.03992     0.24549
    -5.82515     0.14244     0.02192     0.00612     0.02913     0.10959     0.02078     0.05602     0.02119     0.11816     0.52535
    -5.49515     0.41414     0.13460     0.01077     0.13230     0.49194     0.18605     0.13765     0.16871     0.43099     2.10715
    -5.16415     0.16945     0.08393     0.00599     0.06555     0.34368     0.08803     0.06407     0.07302     0.32032     1.21405
    -4.83415     0.13099     0.09050     0.01514     0.10266     0.85567     0.09643     0.08447     0.10145     0.69587     2.17318
    -4.50315     1.57900     0.21930     0.04032     0.20738     1.50130     0.35955     1.20320     0.45360     1.74080     7.30444
    -4.17315     0.46687     0.19444     0.09120     0.20283     3.42400     1.42980     0.55097     1.27400     3.66730    11.30141
    -3.84215     0.19659     0.22451     0.09976     0.22554     4.39870     2.05300     0.60162     2.21860     3.98670    14.00502
    -3.51215     0.05428     0.09926     0.10371     0.10946     1.77840     1.92450     0.81957     1.71410     1.99350     8.59678
    -3.18115     0.08111     0.05784     0.05116     0.04774     1.07320     2.13910     2.46440     2.17730     1.15540     9.24724
    -2.85115     0.08205     0.04710     0.03929     0.04833     1.70560     5.68500     6.24380     6.03240     1.56780    21.45136
    -2.52015     0.23170     0.05618     0.01480     0.08092     2.62320     9.04300     6.20610     8.18300     2.55310    28.99199
    -2.19015     0.73816     0.36530     0.02736     0.31794     8.05200    11.84900    17.91400    12.76500     7.97890    60.00766
    -1.85915     0.21401     0.40154     0.02191     0.37457     6.52700     3.39400     2.33460     3.06170     6.68360    23.01293
    -1.52915     0.05057     0.27481     0.01184     0.32409     4.17970     1.28560     0.13408     1.30750     4.17040    11.73858
    -1.19915     0.00062     0.00518     0.00013     0.00774     0.10649     0.02116     0.00502     0.02554     0.10127     0.27314
    -0.86815     0.00014     0.00004     0.00004     0.00004     0.00039     0.00099     0.00144     0.00120     0.00071     0.00499
    -0.53815     0.00006     0.00002     0.00002     0.00001     0.00008     0.00027     0.00034     0.00044     0.00031     0.00154
    -0.20715     0.00003     0.00001     0.00001     0.00000     0.00003     0.00007     0.00006     0.00013     0.00007     0.00041
     0.12285     0.01844     0.00025     0.00304     0.00010     0.00086     0.00030     0.00807     0.00019     0.00143     0.03268
     0.45385     0.04447     0.01878     0.01638     0.01046     0.07723     0.02510     0.02139     0.01750     0.11067     0.34198
     0.78385     0.06406     0.02738     0.03818     0.02565     0.19745     0.04525     0.02520     0.04730     0.18640     0.65687
     1.11485     0.00977     0.00443     0.00093     0.00504     0.02900     0.00118     0.00088     0.00114     0.02496     0.07735
     1.44485     0.17831     0.06476     0.03386     0.07380     0.42294     0.03063     0.03206     0.03457     0.33695     1.20789
     1.77585     0.59565     0.06474     0.14063     0.06560     0.38366     0.04478     0.07274     0.04195     0.36673     1.77648
     2.10585     0.83592     0.12001     0.21122     0.10514     0.22331     0.11099     0.10114     0.12247     0.32029     2.15049
     2.43685     0.40398     0.11808     0.13150     0.11065     0.19892     0.09160     0.03905     0.06535     0.14806     1.30719
     2.76685     0.57693     0.09235     0.22851     0.10948     0.13218     0.04499     0.04464     0.05398     0.15752     1.44058
     3.09785     0.77356     0.01012     0.21109     0.01398     0.01576     0.01278     0.06476     0.01859     0.01880     1.13943
     3.42785     0.85160     0.02014     0.53948     0.02607     0.03499     0.01199     0.11794     0.02140     0.02949     1.65310
     3.75885     0.23692     0.01735     0.20759     0.01605     0.01004     0.00726     0.05041     0.00725     0.01388     0.56674
     4.08885     0.05525     0.01063     0.07200     0.00863     0.00416     0.00318     0.01809     0.00404     0.00694     0.18291
     4.41985     0.03433     0.00866     0.06541     0.00893     0.00379     0.00364     0.02496     0.00465     0.00536     0.15974
     4.74985     0.01866     0.00534     0.03430     0.00725     0.00299     0.00340     0.02198     0.00433     0.00332     0.10157
     5.08085     0.01620     0.00443     0.02144     0.00697     0.00227     0.00226     0.01736     0.00378     0.00307     0.07779
     5.41085     0.01974     0.00682     0.02519     0.00877     0.00295     0.00367     0.01866     0.00391     0.00393     0.09365
     5.74185     0.01998     0.00734     0.02507     0.00857     0.00320     0.00413     0.01881     0.00366     0.00364     0.09440
     6.07185     0.01634     0.00690     0.01883     0.00726     0.00257     0.00273     0.01120     0.00342     0.00300     0.07224
     6.40285     0.01919     0.00966     0.02005     0.00927     0.00326     0.00381     0.01354     0.00392     0.00373     0.08642
     6.73285     0.01904     0.01144     0.01991     0.01021     0.00362     0.00446     0.01172     0.00391     0.00390     0.08822
     7.06385     0.02183     0.01117     0.02010     0.01051     0.00355     0.00426     0.01016     0.00445     0.00402     0.09005
     7.39385     0.01922     0.01034     0.01757     0.01010     0.00324     0.00352     0.00947     0.00424     0.00366     0.08135
     7.72385     0.01071     0.00668     0.00988     0.00683     0.00206     0.00200     0.00626     0.00246     0.00223     0.04910
     8.05485     0.00246     0.00189     0.00250     0.00187     0.00057     0.00042     0.00162     0.00060     0.00060     0.01255
     8.38485     0.00011     0.00008     0.00009     0.00007     0.00003     0.00001     0.00006     0.00002     0.00003     0.00050
     8.71585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.04585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.37685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.70685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.03785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.36785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.69885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.02885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.35985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.68985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    12.02085     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
    12.35085     0.00029     0.00004     0.00016     0.00009     0.00002     0.00002     0.00003     0.00003     0.00003     0.00072
    12.68185     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
    13.01185     0.00019     0.00005     0.00014     0.00007     0.00003     0.00001     0.00004     0.00002     0.00001     0.00056
    13.34285     0.00006     0.00002     0.00003     0.00001     0.00000     0.00001     0.00001     0.00001     0.00001     0.00015
    13.67285     0.00024     0.00015     0.00015     0.00003     0.00002     0.00004     0.00006     0.00004     0.00003     0.00076
    14.00385     0.00056     0.00019     0.00045     0.00018     0.00005     0.00006     0.00010     0.00007     0.00006     0.00172
    14.33385     0.00020     0.00008     0.00018     0.00012     0.00002     0.00002     0.00004     0.00002     0.00003     0.00071
    14.66485     0.00064     0.00035     0.00053     0.00032     0.00008     0.00007     0.00020     0.00006     0.00005     0.00229
    14.99485     0.00091     0.00061     0.00104     0.00047     0.00014     0.00015     0.00029     0.00013     0.00014     0.00389
    15.32585     0.00187     0.00090     0.00204     0.00113     0.00026     0.00027     0.00071     0.00029     0.00027     0.00774
    15.65585     0.00121     0.00075     0.00167     0.00086     0.00023     0.00025     0.00055     0.00024     0.00022     0.00598
    15.98685     0.00147     0.00092     0.00204     0.00125     0.00028     0.00027     0.00071     0.00031     0.00028     0.00754
    16.31685     0.00159     0.00097     0.00157     0.00112     0.00026     0.00024     0.00062     0.00023     0.00026     0.00687
    16.64685     0.00170     0.00123     0.00181     0.00138     0.00041     0.00031     0.00069     0.00034     0.00030     0.00817
    16.97785     0.00162     0.00132     0.00229     0.00155     0.00046     0.00040     0.00089     0.00036     0.00039     0.00928
    17.30785     0.00196     0.00220     0.00293     0.00218     0.00054     0.00062     0.00125     0.00055     0.00050     0.01274
    17.63885     0.00209     0.00202     0.00342     0.00243     0.00060     0.00053     0.00129     0.00057     0.00054     0.01348
    17.96885     0.00149     0.00183     0.00280     0.00208     0.00056     0.00056     0.00114     0.00056     0.00054     0.01155
    18.29985     0.00167     0.00191     0.00273     0.00202     0.00063     0.00057     0.00113     0.00057     0.00056     0.01178
    18.62985     0.00158     0.00214     0.00313     0.00252     0.00064     0.00063     0.00122     0.00063     0.00060     0.01309
    18.96085     0.00197     0.00258     0.00385     0.00263     0.00088     0.00088     0.00167     0.00089     0.00091     0.01627
    19.29085     0.00156     0.00219     0.00347     0.00245     0.00085     0.00077     0.00138     0.00077     0.00085     0.01428
    19.62185     0.00199     0.00266     0.00424     0.00308     0.00101     0.00098     0.00170     0.00098     0.00108     0.01772
    19.95185     0.00171     0.00239     0.00409     0.00269     0.00098     0.00110     0.00157     0.00104     0.00099     0.01654
    20.28285     0.00142     0.00259     0.00372     0.00267     0.00108     0.00101     0.00169     0.00106     0.00107     0.01632
    20.61285     0.00236     0.00348     0.00567     0.00414     0.00168     0.00168     0.00273     0.00182     0.00186     0.02542
    20.94385     0.00242     0.00386     0.00635     0.00442     0.00187     0.00196     0.00319     0.00189     0.00210     0.02806
    21.27385     0.00229     0.00405     0.00553     0.00422     0.00205     0.00201     0.00356     0.00195     0.00222     0.02788
    21.60485     0.00224     0.00365     0.00519     0.00397     0.00222     0.00184     0.00347     0.00230     0.00216     0.02704
    21.93485     0.00313     0.00451     0.00699     0.00484     0.00292     0.00282     0.00465     0.00316     0.00306     0.03609
    22.26585     0.00307     0.00475     0.00697     0.00478     0.00329     0.00311     0.00498     0.00324     0.00341     0.03760
    22.59585     0.00292     0.00428     0.00631     0.00467     0.00310     0.00298     0.00500     0.00329     0.00334     0.03589
    22.92685     0.00367     0.00530     0.00795     0.00572     0.00394     0.00419     0.00640     0.00413     0.00404     0.04533
    23.25685     0.00499     0.00682     0.01003     0.00731     0.00525     0.00548     0.00857     0.00585     0.00575     0.06006
    23.58785     0.00511     0.00685     0.01021     0.00737     0.00619     0.00593     0.00949     0.00589     0.00619     0.06324
    23.91785     0.00611     0.00768     0.01186     0.00867     0.00691     0.00724     0.01126     0.00748     0.00700     0.07423
    24.24885     0.00686     0.00861     0.01268     0.00954     0.00798     0.00870     0.01296     0.00870     0.00819     0.08422
    24.57885     0.00571     0.00749     0.01065     0.00785     0.00677     0.00746     0.01151     0.00789     0.00733     0.07267
    24.90985     0.00559     0.00662     0.00975     0.00705     0.00677     0.00738     0.01078     0.00758     0.00678     0.06830
    25.23985     0.00559     0.00708     0.00991     0.00722     0.00710     0.00783     0.01202     0.00782     0.00719     0.07178
    25.57085     0.00537     0.00661     0.00875     0.00670     0.00681     0.00749     0.01091     0.00757     0.00727     0.06746
    25.90085     0.00545     0.00654     0.00857     0.00679     0.00727     0.00767     0.01122     0.00777     0.00731     0.06859
    26.23085     0.00547     0.00640     0.00835     0.00670     0.00716     0.00787     0.01151     0.00806     0.00731     0.06882
    26.56185     0.00508     0.00629     0.00814     0.00645     0.00727     0.00782     0.01208     0.00848     0.00777     0.06938
    26.89185     0.00529     0.00617     0.00769     0.00633     0.00750     0.00819     0.01226     0.00844     0.00786     0.06974
    27.22285     0.00503     0.00575     0.00715     0.00587     0.00686     0.00762     0.01157     0.00783     0.00721     0.06490
    27.55285     0.00528     0.00562     0.00731     0.00590     0.00787     0.00807     0.01252     0.00798     0.00754     0.06808
    27.88385     0.00558     0.00613     0.00763     0.00626     0.00848     0.00850     0.01257     0.00838     0.00808     0.07162
    28.21385     0.00468     0.00514     0.00633     0.00535     0.00726     0.00778     0.01112     0.00779     0.00757     0.06303
    28.54485     0.00473     0.00504     0.00598     0.00533     0.00734     0.00745     0.01112     0.00768     0.00742     0.06210
    28.87485     0.00500     0.00545     0.00653     0.00556     0.00778     0.00831     0.01219     0.00850     0.00829     0.06762
    29.20585     0.00481     0.00523     0.00604     0.00521     0.00775     0.00780     0.01168     0.00772     0.00808     0.06431
    29.53585     0.00489     0.00556     0.00613     0.00562     0.00833     0.00816     0.01243     0.00815     0.00834     0.06762
    29.86685     0.00459     0.00494     0.00568     0.00506     0.00732     0.00794     0.01075     0.00779     0.00795     0.06203
    30.19685     0.00527     0.00543     0.00606     0.00555     0.00814     0.00856     0.01259     0.00833     0.00901     0.06895
    30.52785     0.00491     0.00498     0.00569     0.00515     0.00797     0.00771     0.01193     0.00784     0.00833     0.06451
    30.85785     0.00508     0.00527     0.00566     0.00530     0.00849     0.00837     0.01168     0.00808     0.00866     0.06659
    31.18885     0.00543     0.00530     0.00579     0.00560     0.00885     0.00869     0.01262     0.00876     0.00894     0.06998
    31.51885     0.00523     0.00534     0.00568     0.00555     0.00905     0.00884     0.01257     0.00867     0.00917     0.07010
    31.84985     0.00520     0.00543     0.00559     0.00531     0.00892     0.00874     0.01255     0.00846     0.00890     0.06911
    32.17985     0.00492     0.00501     0.00542     0.00526     0.00854     0.00813     0.01238     0.00853     0.00864     0.06684
    32.51085     0.00514     0.00508     0.00535     0.00542     0.00868     0.00828     0.01213     0.00860     0.00871     0.06740
    32.84085     0.00534     0.00524     0.00550     0.00574     0.00921     0.00893     0.01286     0.00900     0.00902     0.07084
    33.17185     0.00572     0.00528     0.00572     0.00560     0.00923     0.00908     0.01238     0.00927     0.00989     0.07216
    33.50185     0.00540     0.00541     0.00561     0.00540     0.00930     0.00925     0.01327     0.00910     0.00964     0.07238
    33.83285     0.00571     0.00536     0.00567     0.00563     0.00958     0.00920     0.01294     0.00924     0.00920     0.07254
    34.16285     0.00620     0.00575     0.00611     0.00589     0.01050     0.00976     0.01353     0.00988     0.01030     0.07792
    34.49385     0.00674     0.00632     0.00644     0.00633     0.01117     0.01110     0.01467     0.01049     0.01143     0.08469
    34.82385     0.00638     0.00595     0.00617     0.00588     0.01079     0.01030     0.01455     0.01004     0.01075     0.08082
    35.15385     0.00653     0.00591     0.00630     0.00601     0.01093     0.01031     0.01506     0.01085     0.01111     0.08302
    35.48485     0.00649     0.00617     0.00607     0.00578     0.01031     0.00982     0.01419     0.01041     0.01045     0.07970
    35.81485     0.00636     0.00610     0.00646     0.00591     0.01027     0.01060     0.01455     0.01038     0.01061     0.08124
    36.14585     0.00624     0.00555     0.00593     0.00589     0.01011     0.00994     0.01426     0.00992     0.01005     0.07788
    36.47585     0.00664     0.00593     0.00607     0.00620     0.01108     0.01078     0.01517     0.01056     0.01133     0.08376
    36.80685     0.00668     0.00575     0.00616     0.00584     0.01018     0.01031     0.01430     0.01075     0.01043     0.08040
    37.13685     0.00680     0.00598     0.00650     0.00588     0.01044     0.01035     0.01498     0.01077     0.01083     0.08253
    37.46785     0.00760     0.00660     0.00689     0.00656     0.01190     0.01203     0.01660     0.01174     0.01246     0.09237
    37.79785     0.00712     0.00631     0.00661     0.00615     0.01160     0.01097     0.01644     0.01179     0.01170     0.08869
    38.12885     0.00749     0.00603     0.00682     0.00641     0.01151     0.01132     0.01658     0.01163     0.01202     0.08982
    38.45885     0.00831     0.00622     0.00739     0.00673     0.01212     0.01192     0.01677     0.01236     0.01228     0.09410
    38.78985     0.00881     0.00695     0.00773     0.00666     0.01315     0.01258     0.01848     0.01244     0.01357     0.10036
    39.11985     0.00924     0.00720     0.00828     0.00727     0.01373     0.01299     0.01947     0.01355     0.01426     0.10600
    39.45085     0.00928     0.00692     0.00812     0.00725     0.01344     0.01320     0.01815     0.01336     0.01398     0.10369
    39.78085     0.00909     0.00680     0.00795     0.00681     0.01335     0.01293     0.01762     0.01315     0.01289     0.10059
    40.11185     0.00987     0.00713     0.00817     0.00706     0.01382     0.01305     0.01842     0.01325     0.01373     0.10451
    40.44185     0.00951     0.00676     0.00818     0.00704     0.01372     0.01300     0.01789     0.01297     0.01386     0.10293
    40.77285     0.01125     0.00781     0.00919     0.00787     0.01481     0.01488     0.02066     0.01448     0.01543     0.11638
    41.10285     0.01134     0.00754     0.00886     0.00775     0.01524     0.01413     0.02029     0.01397     0.01498     0.11410
    41.43385     0.01266     0.00826     0.00966     0.00824     0.01633     0.01539     0.02208     0.01536     0.01663     0.12461
    41.76385     0.01224     0.00778     0.00974     0.00792     0.01533     0.01426     0.02051     0.01476     0.01563     0.11816
