     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -24.00215     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.67115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.34115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.01015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.68015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.34915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.01915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.68815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.35815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37515     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
   -19.04515     0.00003     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00004
   -18.71415     0.00002     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00004
   -18.38415     0.00002     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00003
   -18.05315     0.00001     0.00001     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00004
   -17.72315     0.00001     0.00001     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00005
   -17.39215     0.00175     0.00009     0.00001     0.00008     0.00001     0.00000     0.00000     0.00000     0.00001     0.00196
   -17.06215     0.21786     0.05033     0.00135     0.05147     0.00373     0.00100     0.00007     0.00098     0.00378     0.33058
   -16.73115     0.03408     0.02424     0.00025     0.02345     0.00178     0.00046     0.00001     0.00047     0.00176     0.08650
   -16.40115     0.00011     0.00002     0.00070     0.00003     0.00000     0.00002     0.00001     0.00002     0.00001     0.00091
   -16.07015     0.01265     0.01095     0.10255     0.01040     0.00320     0.01169     0.00182     0.01198     0.00308     0.16831
   -15.74015     0.00383     0.00866     0.02753     0.00906     0.00248     0.00949     0.00045     0.00927     0.00261     0.07338
   -15.40915     0.00003     0.00002     0.00002     0.00001     0.00000     0.00001     0.00000     0.00000     0.00000     0.00010
   -15.07915     0.00006     0.00002     0.00001     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00012
   -14.74815     0.26540     0.00979     0.02711     0.00695     0.00026     0.00071     0.00098     0.00067     0.00035     0.31222
   -14.41815     0.68907     0.10019     0.07884     0.11026     0.00405     0.00934     0.00264     0.00992     0.00411     1.00841
   -14.08715     0.22630     0.16585     0.15256     0.15478     0.01172     0.02509     0.00206     0.02328     0.01102     0.77266
   -13.75715     0.47072     0.20796     0.28043     0.22153     0.03991     0.06995     0.00294     0.07354     0.04156     1.40854
   -13.42615     0.02830     0.04350     0.00935     0.03522     0.00746     0.01148     0.00007     0.00935     0.00650     0.15123
   -13.09615     0.00012     0.00001     0.00004     0.00002     0.00000     0.00000     0.00000     0.00001     0.00000     0.00020
   -12.76515     0.00007     0.00002     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00014
   -12.43515     0.00008     0.00002     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00016
   -12.10415     0.00005     0.00001     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00010
   -11.77415     0.00003     0.00001     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00006
   -11.44315     0.09188     0.00061     0.00053     0.00023     0.00001     0.00004     0.00106     0.00014     0.00002     0.09452
   -11.11315     0.40061     0.01528     0.00255     0.01365     0.00024     0.00246     0.00515     0.00329     0.00033     0.44355
   -10.78215     0.36152     0.07683     0.00281     0.08067     0.00074     0.01388     0.00507     0.01291     0.00061     0.55505
   -10.45215     0.02840     0.01985     0.00031     0.01911     0.00011     0.00270     0.00044     0.00294     0.00014     0.07400
   -10.12215     0.00004     0.00001     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00008
    -9.79115     0.00825     0.00018     0.02638     0.00078     0.00004     0.00013     0.00014     0.00007     0.00008     0.03604
    -9.46115     0.09906     0.02831     0.29347     0.03802     0.00431     0.00843     0.00141     0.00931     0.00578     0.48809
    -9.13015     0.09996     0.16009     0.24905     0.14614     0.02840     0.05090     0.00123     0.04957     0.02585     0.81118
    -8.80015     0.00283     0.01288     0.00631     0.01670     0.00240     0.00487     0.00003     0.00571     0.00343     0.05515
    -8.46915     0.00023     0.00002     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00030
    -8.13915     0.35000     0.00053     0.00128     0.00044     0.00006     0.00004     0.00012     0.00003     0.00007     0.35257
    -7.80815     5.95290     0.04279     0.02486     0.04122     0.00262     0.00175     0.00371     0.00185     0.00289     6.07461
    -7.47815     3.20530     0.02745     0.02204     0.02357     0.00149     0.00123     0.00612     0.00133     0.00156     3.29009
    -7.14715     0.27672     0.13648     0.35436     0.14823     0.01442     0.02283     0.01858     0.01708     0.01514     1.00384
    -6.81715     1.36960     0.31124     0.31875     0.32787     0.02637     0.03415     0.02263     0.04464     0.02090     2.47614
    -6.48615     1.15730     0.37177     0.19217     0.31634     0.01792     0.05484     0.01227     0.04907     0.02064     2.19231
    -6.15615     0.14430     0.19840     0.06021     0.25766     0.00967     0.01865     0.00156     0.01978     0.01332     0.72355
    -5.82515     0.40925     0.16397     0.16263     0.13955     0.02565     0.02168     0.00275     0.02255     0.02571     0.97374
    -5.49515     2.29540     0.08515     0.75446     0.07171     0.00996     0.00645     0.01063     0.00604     0.01023     3.25003
    -5.16415     1.06024     0.05457     0.31580     0.04308     0.00639     0.00384     0.00419     0.00386     0.00552     1.49750
    -4.83415     0.42795     0.33195     0.19938     0.35968     0.01383     0.01080     0.02492     0.00894     0.01130     1.38875
    -4.50315     1.08080     0.49516     0.83990     0.53199     0.02349     0.04679     0.05643     0.04533     0.02391     3.14380
    -4.17315     0.32152     1.54060     0.69698     1.51210     0.01664     0.05194     0.02105     0.05021     0.01632     4.22735
    -3.84215     0.26346     1.20200     1.12490     1.21030     0.06913     0.08926     0.01198     0.10183     0.06500     4.13786
    -3.51215     0.26869     0.32682     0.48596     0.32506     0.09161     0.24543     0.01213     0.25128     0.09247     2.09945
    -3.18115     0.14142     0.34121     0.18215     0.27846     0.08947     0.20983     0.06116     0.20118     0.09788     1.60276
    -2.85115     0.15202     0.49393     0.09992     0.54159     0.14052     0.16116     0.09249     0.15993     0.14462     1.98618
    -2.52015     0.28397     0.35526     0.18108     0.35354     0.05660     0.09138     0.08309     0.08185     0.05623     1.54300
    -2.19015     0.29379     0.51751     0.38862     0.51140     0.14978     0.22810     0.06113     0.21930     0.13971     2.50933
    -1.85915     0.14910     0.07929     0.32992     0.08415     0.08533     0.17836     0.02699     0.19136     0.08912     1.21362
    -1.52915     0.05296     0.03300     0.11834     0.04692     0.04389     0.13406     0.00371     0.14190     0.04430     0.61907
    -1.19915     0.00533     0.00252     0.00095     0.00285     0.00171     0.00285     0.00072     0.00367     0.00208     0.02268
    -0.86815     0.00458     0.00086     0.00024     0.00082     0.00015     0.00021     0.00043     0.00027     0.00013     0.00769
    -0.53815     0.00365     0.00030     0.00010     0.00036     0.00008     0.00003     0.00020     0.00013     0.00004     0.00488
    -0.20715     0.00208     0.00006     0.00003     0.00014     0.00003     0.00001     0.00006     0.00003     0.00001     0.00245
     0.12285     0.30198     0.00033     0.01718     0.00016     0.00004     0.00010     0.00013     0.00009     0.00003     0.32005
     0.45385     3.84200     0.00394     0.08583     0.00345     0.00325     0.00290     0.00315     0.00219     0.00303     3.94972
     0.78385     7.82770     0.00805     0.17914     0.00846     0.01168     0.00878     0.00459     0.00720     0.00886     8.06445
     1.11485     0.03340     0.01332     0.00422     0.01279     0.00121     0.00074     0.00044     0.00061     0.00162     0.06834
     1.44485     0.19265     0.18017     0.04613     0.15634     0.05390     0.02459     0.00255     0.02017     0.05256     0.72906
     1.77585     0.20663     0.41025     0.15071     0.40985     0.16183     0.07136     0.01043     0.07203     0.15960     1.65270
     2.10585     0.31683     0.96950     0.48758     0.95200     0.16980     0.11580     0.04981     0.11336     0.19577     3.37045
     2.43685     0.31070     0.35296     0.53730     0.35454     0.07147     0.03945     0.05179     0.03402     0.06826     1.82049
     2.76685     0.24334     0.13536     0.28592     0.18244     0.05543     0.05854     0.09738     0.06019     0.04616     1.16474
     3.09785     0.13825     0.13929     0.33006     0.12702     0.06427     0.02934     0.25120     0.02986     0.05975     1.16905
     3.42785     0.05894     0.44528     0.24838     0.43808     0.03583     0.02784     0.11617     0.03031     0.03312     1.43395
     3.75885     0.03567     0.25196     0.15213     0.29991     0.01806     0.01082     0.04947     0.01104     0.01465     0.84372
     4.08885     0.01731     0.15280     0.08569     0.10009     0.01333     0.00579     0.01627     0.00769     0.00876     0.40772
     4.41985     0.02122     0.09806     0.06956     0.07505     0.01472     0.00753     0.01206     0.00891     0.01248     0.31958
     4.74985     0.01497     0.05013     0.04197     0.04068     0.01027     0.00796     0.00845     0.00765     0.01130     0.19340
     5.08085     0.01022     0.03056     0.04318     0.03259     0.00615     0.00752     0.00844     0.00680     0.00897     0.15443
     5.41085     0.01335     0.04062     0.05684     0.04179     0.00904     0.01022     0.01175     0.00832     0.01115     0.20308
     5.74185     0.01606     0.03993     0.05287     0.03951     0.00926     0.01043     0.01265     0.00940     0.01146     0.20157
     6.07185     0.01343     0.02841     0.04453     0.02907     0.00848     0.00864     0.01019     0.00887     0.00988     0.16152
     6.40285     0.01884     0.02813     0.05096     0.03590     0.01182     0.01390     0.01277     0.01250     0.01405     0.19886
     6.73285     0.02630     0.02819     0.04462     0.03601     0.01538     0.01553     0.01582     0.01682     0.01459     0.21326
     7.06385     0.03045     0.02629     0.03875     0.03467     0.01657     0.01591     0.01739     0.01969     0.01548     0.21520
     7.39385     0.02579     0.02433     0.03171     0.03084     0.01568     0.01594     0.01797     0.01942     0.01520     0.19689
     7.72385     0.01410     0.01744     0.01955     0.02131     0.01004     0.01033     0.01326     0.01297     0.01132     0.13033
     8.05485     0.00305     0.00426     0.00503     0.00565     0.00267     0.00308     0.00421     0.00356     0.00318     0.03470
     8.38485     0.00010     0.00011     0.00017     0.00020     0.00008     0.00012     0.00019     0.00015     0.00011     0.00122
     8.71585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.04585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.37685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.70685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.03785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.36785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.69885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.02885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.35985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.68985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    12.02085     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
    12.35085     0.00058     0.00010     0.00007     0.00013     0.00020     0.00017     0.00009     0.00014     0.00009     0.00157
    12.68185     0.00001     0.00000     0.00000     0.00000     0.00001     0.00001     0.00000     0.00000     0.00000     0.00005
    13.01185     0.00034     0.00009     0.00010     0.00012     0.00019     0.00031     0.00016     0.00018     0.00018     0.00166
    13.34285     0.00014     0.00003     0.00002     0.00002     0.00007     0.00004     0.00004     0.00006     0.00003     0.00044
    13.67285     0.00060     0.00015     0.00010     0.00013     0.00031     0.00027     0.00026     0.00037     0.00023     0.00240
    14.00385     0.00138     0.00023     0.00020     0.00030     0.00055     0.00061     0.00042     0.00051     0.00059     0.00480
    14.33385     0.00087     0.00012     0.00008     0.00012     0.00030     0.00020     0.00013     0.00018     0.00024     0.00223
    14.66485     0.00204     0.00046     0.00014     0.00027     0.00076     0.00111     0.00084     0.00094     0.00065     0.00721
    14.99485     0.00308     0.00071     0.00038     0.00064     0.00144     0.00169     0.00109     0.00156     0.00163     0.01223
    15.32585     0.00723     0.00134     0.00069     0.00141     0.00341     0.00338     0.00227     0.00339     0.00375     0.02687
    15.65585     0.00470     0.00107     0.00066     0.00120     0.00251     0.00326     0.00206     0.00280     0.00301     0.02127
    15.98685     0.00567     0.00150     0.00087     0.00120     0.00401     0.00432     0.00326     0.00449     0.00371     0.02903
    16.31685     0.00626     0.00113     0.00082     0.00119     0.00309     0.00346     0.00353     0.00363     0.00331     0.02643
    16.64685     0.00662     0.00140     0.00090     0.00152     0.00403     0.00521     0.00412     0.00411     0.00447     0.03238
    16.97785     0.00797     0.00190     0.00129     0.00161     0.00489     0.00581     0.00488     0.00600     0.00546     0.03980
    17.30785     0.01212     0.00209     0.00176     0.00229     0.00706     0.00883     0.00726     0.00817     0.00705     0.05664
    17.63885     0.01143     0.00257     0.00175     0.00266     0.00763     0.00929     0.00707     0.00790     0.00692     0.05722
    17.96885     0.00897     0.00228     0.00167     0.00240     0.00714     0.00743     0.00644     0.00734     0.00714     0.05080
    18.29985     0.01027     0.00206     0.00181     0.00223     0.00697     0.00689     0.00722     0.00779     0.00707     0.05233
    18.62985     0.01063     0.00227     0.00173     0.00242     0.00841     0.00922     0.00870     0.00776     0.00949     0.06063
    18.96085     0.01580     0.00280     0.00266     0.00283     0.01016     0.01106     0.01392     0.01079     0.01036     0.08038
    19.29085     0.01457     0.00262     0.00202     0.00270     0.00864     0.00878     0.01119     0.00895     0.00911     0.06859
    19.62185     0.01772     0.00310     0.00282     0.00299     0.01171     0.01174     0.01462     0.01350     0.01083     0.08903
    19.95185     0.01723     0.00257     0.00271     0.00301     0.01075     0.01039     0.01321     0.01173     0.01066     0.08225
    20.28285     0.01765     0.00275     0.00274     0.00277     0.01031     0.01148     0.01435     0.01157     0.01201     0.08563
    20.61285     0.02919     0.00445     0.00412     0.00411     0.01686     0.01779     0.02192     0.01704     0.01795     0.13344
    20.94385     0.03146     0.00467     0.00453     0.00483     0.01713     0.01760     0.02406     0.01755     0.01823     0.14005
    21.27385     0.03172     0.00472     0.00469     0.00467     0.01739     0.01685     0.02117     0.01756     0.01927     0.13805
    21.60485     0.03185     0.00432     0.00413     0.00423     0.01623     0.01585     0.02095     0.01721     0.01788     0.13265
    21.93485     0.04501     0.00563     0.00560     0.00600     0.02183     0.02148     0.02618     0.02291     0.02243     0.17707
    22.26585     0.04769     0.00607     0.00576     0.00585     0.02258     0.02133     0.02726     0.02375     0.02376     0.18405
    22.59585     0.04844     0.00551     0.00560     0.00567     0.02174     0.01949     0.02344     0.01982     0.02255     0.17225
    22.92685     0.06133     0.00685     0.00683     0.00662     0.02634     0.02329     0.02775     0.02426     0.02775     0.21102
    23.25685     0.08763     0.00913     0.00950     0.00918     0.03468     0.02884     0.03789     0.03088     0.03458     0.28232
    23.58785     0.08795     0.00957     0.01009     0.00888     0.03450     0.03038     0.03885     0.03237     0.03443     0.28702
    23.91785     0.11115     0.01069     0.01210     0.01081     0.04125     0.03500     0.04280     0.03526     0.04214     0.34120
    24.24885     0.12605     0.01236     0.01373     0.01174     0.04421     0.03890     0.04391     0.03958     0.04657     0.37705
    24.57885     0.11542     0.01009     0.01201     0.01000     0.03701     0.03103     0.03648     0.03405     0.03834     0.32442
    24.90985     0.10797     0.00911     0.01084     0.00936     0.03324     0.02717     0.03310     0.03025     0.03364     0.29467
    25.23985     0.11676     0.00948     0.01132     0.00968     0.03423     0.02835     0.03425     0.03004     0.03373     0.30783
    25.57085     0.11445     0.00880     0.01082     0.00889     0.03036     0.02716     0.03068     0.02627     0.02986     0.28729
    25.90085     0.11149     0.00914     0.01123     0.00920     0.02944     0.02726     0.02894     0.02642     0.03091     0.28404
    26.23085     0.11963     0.00963     0.01148     0.00966     0.02859     0.02718     0.02893     0.02553     0.02922     0.28986
    26.56185     0.12909     0.00879     0.01155     0.00963     0.02673     0.02484     0.02855     0.02369     0.02724     0.29011
    26.89185     0.12903     0.00900     0.01160     0.00929     0.02669     0.02506     0.02820     0.02544     0.02657     0.29087
    27.22285     0.12710     0.00824     0.01038     0.00869     0.02339     0.02190     0.02614     0.02332     0.02324     0.27239
    27.55285     0.13736     0.00875     0.01129     0.00905     0.02305     0.02277     0.02643     0.02271     0.02390     0.28531
    27.88385     0.15117     0.00910     0.01167     0.00935     0.02361     0.02377     0.02703     0.02302     0.02398     0.30269
    28.21385     0.14216     0.00821     0.01139     0.00843     0.02049     0.02001     0.02373     0.02031     0.02030     0.27504
    28.54485     0.13781     0.00826     0.01061     0.00836     0.01919     0.01805     0.02240     0.01899     0.01908     0.26275
    28.87485     0.15741     0.00931     0.01178     0.00879     0.02022     0.01923     0.02357     0.02072     0.02068     0.29172
    29.20585     0.15488     0.00853     0.01164     0.00889     0.01827     0.01822     0.02417     0.01925     0.01850     0.28234
    29.53585     0.16299     0.00929     0.01219     0.00899     0.01856     0.01810     0.02414     0.01918     0.01868     0.29213
    29.86685     0.15834     0.00902     0.01182     0.00873     0.01699     0.01733     0.02151     0.01693     0.01700     0.27767
    30.19685     0.18584     0.01047     0.01307     0.00994     0.01815     0.01863     0.02246     0.01767     0.01797     0.31421
    30.52785     0.17738     0.00938     0.01257     0.00938     0.01568     0.01692     0.02091     0.01566     0.01702     0.29489
    30.85785     0.18605     0.00966     0.01356     0.00991     0.01615     0.01688     0.02168     0.01660     0.01716     0.30765
    31.18885     0.20405     0.01034     0.01379     0.01044     0.01659     0.01737     0.02093     0.01741     0.01690     0.32782
    31.51885     0.19971     0.01082     0.01403     0.01044     0.01584     0.01625     0.02003     0.01669     0.01585     0.31967
    31.84985     0.21207     0.01102     0.01424     0.01097     0.01584     0.01539     0.01953     0.01629     0.01523     0.33058
    32.17985     0.21421     0.01080     0.01376     0.01051     0.01501     0.01458     0.01828     0.01557     0.01546     0.32817
    32.51085     0.22624     0.01139     0.01484     0.01163     0.01506     0.01463     0.01761     0.01554     0.01470     0.34164
    32.84085     0.23650     0.01248     0.01542     0.01259     0.01546     0.01503     0.01888     0.01499     0.01525     0.35661
    33.17185     0.24552     0.01381     0.01591     0.01343     0.01475     0.01580     0.01837     0.01485     0.01569     0.36814
    33.50185     0.25646     0.01364     0.01601     0.01380     0.01443     0.01440     0.01764     0.01486     0.01521     0.37645
    33.83285     0.25486     0.01383     0.01620     0.01400     0.01458     0.01434     0.01775     0.01452     0.01506     0.37515
    34.16285     0.28615     0.01579     0.01923     0.01553     0.01594     0.01490     0.01828     0.01563     0.01502     0.41646
    34.49385     0.31766     0.01734     0.02056     0.01712     0.01638     0.01599     0.01924     0.01633     0.01638     0.45700
    34.82385     0.29176     0.01766     0.01991     0.01738     0.01491     0.01477     0.01712     0.01568     0.01554     0.42472
    35.15385     0.31220     0.01787     0.02189     0.01902     0.01524     0.01450     0.01718     0.01498     0.01559     0.44847
    35.48485     0.31172     0.01829     0.02112     0.01821     0.01426     0.01419     0.01583     0.01439     0.01428     0.44229
    35.81485     0.31575     0.01872     0.02132     0.01843     0.01442     0.01373     0.01576     0.01431     0.01410     0.44653
    36.14585     0.29631     0.01816     0.02067     0.01887     0.01358     0.01358     0.01522     0.01298     0.01312     0.42249
    36.47585     0.31891     0.01920     0.02249     0.02104     0.01445     0.01369     0.01543     0.01363     0.01461     0.45344
    36.80685     0.31580     0.02072     0.02292     0.02041     0.01372     0.01284     0.01468     0.01335     0.01399     0.44842
    37.13685     0.32743     0.02202     0.02459     0.02234     0.01365     0.01264     0.01523     0.01317     0.01341     0.46448
    37.46785     0.35194     0.02504     0.02757     0.02376     0.01395     0.01424     0.01562     0.01448     0.01444     0.50103
    37.79785     0.35937     0.02469     0.02715     0.02452     0.01407     0.01359     0.01526     0.01317     0.01389     0.50571
    38.12885     0.34992     0.02477     0.02763     0.02492     0.01377     0.01390     0.01471     0.01283     0.01297     0.49542
    38.45885     0.36331     0.02763     0.02946     0.02671     0.01370     0.01343     0.01487     0.01364     0.01358     0.51633
    38.78985     0.39310     0.03035     0.03221     0.03007     0.01399     0.01394     0.01452     0.01449     0.01402     0.55668
    39.11985     0.41952     0.03214     0.03587     0.03201     0.01485     0.01444     0.01565     0.01441     0.01415     0.59304
    39.45085     0.40503     0.03324     0.03540     0.03395     0.01470     0.01444     0.01532     0.01436     0.01401     0.58046
    39.78085     0.38104     0.03153     0.03442     0.03296     0.01301     0.01350     0.01369     0.01369     0.01341     0.54725
    40.11185     0.37378     0.03419     0.03687     0.03280     0.01313     0.01379     0.01375     0.01358     0.01353     0.54541
    40.44185     0.38380     0.03383     0.03675     0.03395     0.01274     0.01375     0.01364     0.01297     0.01259     0.55402
    40.77285     0.42158     0.03764     0.04057     0.04016     0.01399     0.01473     0.01466     0.01460     0.01373     0.61165
    41.10285     0.40046     0.03793     0.04022     0.03834     0.01293     0.01394     0.01325     0.01343     0.01342     0.58393
    41.43385     0.45817     0.04280     0.04650     0.04194     0.01425     0.01497     0.01435     0.01539     0.01422     0.66258
    41.76385     0.41120     0.04108     0.04434     0.04103     0.01308     0.01375     0.01317     0.01388     0.01296     0.60448
