     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -24.00215     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.67115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.34115     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.01015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.68015     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.34915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.01915     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.68815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.35815     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69715     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70615     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37515     0.00016     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00017
   -19.04515     0.00043     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00045
   -18.71415     0.00052     0.00000     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00055
   -18.38415     0.00041     0.00001     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00044
   -18.05315     0.00096     0.00001     0.00003     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00100
   -17.72315     0.00136     0.00001     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00141
   -17.39215     0.03848     0.00002     0.00005     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.03856
   -17.06215     9.24840     0.00110     0.00953     0.00114     0.00000     0.00000     0.00000     0.00000     0.00000     9.26017
   -16.73115     3.26343     0.00025     0.00368     0.00030     0.00000     0.00000     0.00000     0.00000     0.00000     3.26767
   -16.40115     0.02361     0.00004     0.00130     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.02498
   -16.07015     5.97910     0.00151     0.32707     0.00157     0.00000     0.00000     0.00000     0.00000     0.00000     6.30926
   -15.74015     3.42888     0.00064     0.18740     0.00075     0.00000     0.00000     0.00000     0.00000     0.00000     3.61767
   -15.40915     0.00092     0.00008     0.00004     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00114
   -15.07915     0.00022     0.00012     0.00001     0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00048
   -14.74815     0.01373     0.21635     0.00052     0.17930     0.00000     0.00000     0.00000     0.00000     0.00000     0.40991
   -14.41815     0.08870     0.95146     0.00249     1.00032     0.00000     0.00000     0.00000     0.00000     0.00000     2.04297
   -14.08715     0.03940     1.25398     0.00230     1.22820     0.00000     0.00000     0.00000     0.00000     0.00000     2.52388
   -13.75715     0.06165     1.74586     0.00622     1.73414     0.00000     0.00000     0.00000     0.00000     0.00000     3.54786
   -13.42615     0.00431     0.21562     0.00081     0.23754     0.00000     0.00000     0.00000     0.00000     0.00000     0.45828
   -13.09615     0.00005     0.00014     0.00000     0.00016     0.00000     0.00000     0.00000     0.00000     0.00000     0.00034
   -12.76515     0.00006     0.00010     0.00001     0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00029
   -12.43515     0.00012     0.00012     0.00001     0.00008     0.00000     0.00000     0.00000     0.00000     0.00000     0.00034
   -12.10415     0.00014     0.00006     0.00002     0.00005     0.00000     0.00000     0.00000     0.00000     0.00000     0.00027
   -11.77415     0.00015     0.00003     0.00002     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00023
   -11.44315     0.34487     0.00060     0.04813     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000     0.39377
   -11.11315     2.04873     0.01201     0.35654     0.00742     0.00000     0.00000     0.00000     0.00000     0.00000     2.42470
   -10.78215     4.81490     0.01777     1.19600     0.02122     0.00000     0.00000     0.00000     0.00000     0.00000     6.04990
   -10.45215     0.98068     0.00145     0.27441     0.00248     0.00000     0.00000     0.00000     0.00000     0.00000     1.25902
   -10.12215     0.00059     0.00001     0.00008     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00069
    -9.79115     0.19023     0.00009     0.01046     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.20084
    -9.46115     2.71437     0.00410     0.15972     0.00266     0.00000     0.00000     0.00000     0.00000     0.00000     2.88085
    -9.13015     5.54100     0.00886     0.38688     0.01183     0.00000     0.00000     0.00000     0.00000     0.00000     5.94857
    -8.80015     0.45766     0.00033     0.03583     0.00049     0.00000     0.00000     0.00000     0.00000     0.00000     0.49431
    -8.46915     0.00021     0.00002     0.00010     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00036
    -8.13915     0.00279     0.00317     0.26845     0.00416     0.00000     0.00000     0.00000     0.00000     0.00000     0.27857
    -7.80815     0.04268     0.37013     3.21270     0.35321     0.00000     0.00000     0.00000     0.00000     0.00000     3.97872
    -7.47815     0.01829     0.35924     0.95146     0.40468     0.00000     0.00000     0.00000     0.00000     0.00000     1.73367
    -7.14715     0.08156     1.88634     1.38450     1.96198     0.00000     0.00000     0.00000     0.00000     0.00000     5.31438
    -6.81715     0.14408     3.60540     1.80730     3.20050     0.00000     0.00000     0.00000     0.00000     0.00000     8.75728
    -6.48615     0.11905     2.14340     1.36494     2.63020     0.00000     0.00000     0.00000     0.00000     0.00000     6.25759
    -6.15615     0.01587     1.41777     0.12229     1.05034     0.00000     0.00000     0.00000     0.00000     0.00000     2.60627
    -5.82515     0.02290     1.86259     0.20823     2.05706     0.00000     0.00000     0.00000     0.00000     0.00000     4.15078
    -5.49515     0.02822     0.87067     0.54876     0.87315     0.00000     0.00000     0.00000     0.00000     0.00000     2.32079
    -5.16415     0.02246     0.32437     0.35396     0.34557     0.00000     0.00000     0.00000     0.00000     0.00000     1.04636
    -4.83415     0.09191     0.16690     0.07129     0.14259     0.00000     0.00000     0.00000     0.00000     0.00000     0.47268
    -4.50315     0.27492     0.67121     0.37310     0.64560     0.00000     0.00000     0.00000     0.00000     0.00000     1.96483
    -4.17315     0.42582     0.29185     0.91348     0.32867     0.00000     0.00000     0.00000     0.00000     0.00000     1.95982
    -3.84215     0.29128     0.41447     0.85058     0.35928     0.00000     0.00000     0.00000     0.00000     0.00000     1.91561
    -3.51215     0.07985     0.22136     0.73625     0.24832     0.00000     0.00000     0.00000     0.00000     0.00000     1.28579
    -3.18115     0.16122     0.09764     0.77438     0.10716     0.00000     0.00000     0.00000     0.00000     0.00000     1.14040
    -2.85115     0.36425     0.14835     1.02675     0.12941     0.00000     0.00000     0.00000     0.00000     0.00000     1.66876
    -2.52015     0.11865     0.17927     0.25374     0.16058     0.00000     0.00000     0.00000     0.00000     0.00000     0.71224
    -2.19015     0.23704     0.28103     0.59809     0.27872     0.00000     0.00000     0.00000     0.00000     0.00000     1.39488
    -1.85915     0.15882     0.09739     0.76545     0.12099     0.00000     0.00000     0.00000     0.00000     0.00000     1.14265
    -1.52915     0.04643     0.05693     0.27227     0.07259     0.00000     0.00000     0.00000     0.00000     0.00000     0.44823
    -1.19915     0.00245     0.00218     0.00684     0.00245     0.00000     0.00000     0.00000     0.00000     0.00000     0.01393
    -0.86815     0.00151     0.00040     0.00237     0.00036     0.00000     0.00000     0.00000     0.00000     0.00000     0.00463
    -0.53815     0.00094     0.00021     0.00111     0.00018     0.00000     0.00000     0.00000     0.00000     0.00000     0.00243
    -0.20715     0.00039     0.00006     0.00038     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00093
     0.12285     0.04279     0.00025     0.01218     0.00025     0.00000     0.00000     0.00000     0.00000     0.00000     0.05547
     0.45385     0.13837     0.06103     0.03940     0.06489     0.00000     0.00000     0.00000     0.00000     0.00000     0.30369
     0.78385     0.26474     0.13268     0.07922     0.13794     0.00000     0.00000     0.00000     0.00000     0.00000     0.61458
     1.11485     0.17675     0.00294     0.03702     0.00354     0.00000     0.00000     0.00000     0.00000     0.00000     0.22026
     1.44485     3.80930     0.19194     0.99695     0.22712     0.00000     0.00000     0.00000     0.00000     0.00000     5.22532
     1.77585     4.07910     0.75624     2.07543     0.84159     0.00000     0.00000     0.00000     0.00000     0.00000     7.75236
     2.10585     2.56643     2.11696     5.53510     1.83408     0.00000     0.00000     0.00000     0.00000     0.00000    12.05257
     2.43685     0.92505     1.36063     2.44040     1.49849     0.00000     0.00000     0.00000     0.00000     0.00000     6.22457
     2.76685     0.71034     1.26937     0.72547     1.43190     0.00000     0.00000     0.00000     0.00000     0.00000     4.13708
     3.09785     0.11044     0.96691     0.10634     0.95732     0.00000     0.00000     0.00000     0.00000     0.00000     2.14101
     3.42785     0.18488     0.53279     0.10501     0.54008     0.00000     0.00000     0.00000     0.00000     0.00000     1.36276
     3.75885     0.06069     0.21364     0.04199     0.23304     0.00000     0.00000     0.00000     0.00000     0.00000     0.54937
     4.08885     0.02291     0.08240     0.02263     0.10472     0.00000     0.00000     0.00000     0.00000     0.00000     0.23265
     4.41985     0.01413     0.07141     0.03066     0.06868     0.00000     0.00000     0.00000     0.00000     0.00000     0.18487
     4.74985     0.00852     0.05526     0.02664     0.04180     0.00000     0.00000     0.00000     0.00000     0.00000     0.13221
     5.08085     0.01302     0.04448     0.02190     0.03057     0.00000     0.00000     0.00000     0.00000     0.00000     0.10997
     5.41085     0.01836     0.05632     0.02890     0.03666     0.00000     0.00000     0.00000     0.00000     0.00000     0.14025
     5.74185     0.01264     0.05111     0.02672     0.03729     0.00000     0.00000     0.00000     0.00000     0.00000     0.12775
     6.07185     0.01509     0.03254     0.02362     0.03015     0.00000     0.00000     0.00000     0.00000     0.00000     0.10140
     6.40285     0.03062     0.03390     0.03393     0.03790     0.00000     0.00000     0.00000     0.00000     0.00000     0.13635
     6.73285     0.02581     0.03517     0.03190     0.03415     0.00000     0.00000     0.00000     0.00000     0.00000     0.12704
     7.06385     0.02058     0.03328     0.03319     0.03407     0.00000     0.00000     0.00000     0.00000     0.00000     0.12112
     7.39385     0.01662     0.02967     0.03281     0.03096     0.00000     0.00000     0.00000     0.00000     0.00000     0.11006
     7.72385     0.01020     0.01785     0.02275     0.01877     0.00000     0.00000     0.00000     0.00000     0.00000     0.06957
     8.05485     0.00241     0.00423     0.00589     0.00482     0.00000     0.00000     0.00000     0.00000     0.00000     0.01734
     8.38485     0.00009     0.00015     0.00023     0.00020     0.00000     0.00000     0.00000     0.00000     0.00000     0.00067
     8.71585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.04585     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.37685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     9.70685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.03785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.36785     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    10.69885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.02885     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.35985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    11.68985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    12.02085     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
    12.35085     0.00020     0.00023     0.00008     0.00022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00074
    12.68185     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
    13.01185     0.00016     0.00012     0.00007     0.00014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00048
    13.34285     0.00003     0.00004     0.00002     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00012
    13.67285     0.00018     0.00020     0.00010     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000     0.00064
    14.00385     0.00055     0.00032     0.00020     0.00037     0.00000     0.00000     0.00000     0.00000     0.00000     0.00145
    14.33385     0.00022     0.00024     0.00008     0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00066
    14.66485     0.00072     0.00042     0.00024     0.00033     0.00000     0.00000     0.00000     0.00000     0.00000     0.00170
    14.99485     0.00098     0.00069     0.00044     0.00076     0.00000     0.00000     0.00000     0.00000     0.00000     0.00287
    15.32585     0.00213     0.00169     0.00085     0.00152     0.00000     0.00000     0.00000     0.00000     0.00000     0.00620
    15.65585     0.00158     0.00149     0.00062     0.00127     0.00000     0.00000     0.00000     0.00000     0.00000     0.00495
    15.98685     0.00184     0.00150     0.00075     0.00153     0.00000     0.00000     0.00000     0.00000     0.00000     0.00562
    16.31685     0.00174     0.00135     0.00065     0.00119     0.00000     0.00000     0.00000     0.00000     0.00000     0.00493
    16.64685     0.00212     0.00140     0.00084     0.00145     0.00000     0.00000     0.00000     0.00000     0.00000     0.00581
    16.97785     0.00230     0.00183     0.00101     0.00185     0.00000     0.00000     0.00000     0.00000     0.00000     0.00699
    17.30785     0.00313     0.00259     0.00139     0.00254     0.00000     0.00000     0.00000     0.00000     0.00000     0.00965
    17.63885     0.00313     0.00259     0.00132     0.00269     0.00000     0.00000     0.00000     0.00000     0.00000     0.00973
    17.96885     0.00278     0.00194     0.00135     0.00224     0.00000     0.00000     0.00000     0.00000     0.00000     0.00831
    18.29985     0.00265     0.00218     0.00131     0.00209     0.00000     0.00000     0.00000     0.00000     0.00000     0.00823
    18.62985     0.00297     0.00206     0.00156     0.00224     0.00000     0.00000     0.00000     0.00000     0.00000     0.00882
    18.96085     0.00371     0.00264     0.00193     0.00291     0.00000     0.00000     0.00000     0.00000     0.00000     0.01120
    19.29085     0.00323     0.00221     0.00171     0.00243     0.00000     0.00000     0.00000     0.00000     0.00000     0.00959
    19.62185     0.00354     0.00262     0.00224     0.00285     0.00000     0.00000     0.00000     0.00000     0.00000     0.01125
    19.95185     0.00373     0.00228     0.00207     0.00242     0.00000     0.00000     0.00000     0.00000     0.00000     0.01050
    20.28285     0.00367     0.00238     0.00200     0.00248     0.00000     0.00000     0.00000     0.00000     0.00000     0.01053
    20.61285     0.00540     0.00372     0.00344     0.00394     0.00000     0.00000     0.00000     0.00000     0.00000     0.01650
    20.94385     0.00561     0.00397     0.00361     0.00402     0.00000     0.00000     0.00000     0.00000     0.00000     0.01722
    21.27385     0.00561     0.00389     0.00359     0.00426     0.00000     0.00000     0.00000     0.00000     0.00000     0.01735
    21.60485     0.00557     0.00375     0.00360     0.00407     0.00000     0.00000     0.00000     0.00000     0.00000     0.01700
    21.93485     0.00702     0.00492     0.00499     0.00509     0.00000     0.00000     0.00000     0.00000     0.00000     0.02203
    22.26585     0.00737     0.00517     0.00546     0.00525     0.00000     0.00000     0.00000     0.00000     0.00000     0.02324
    22.59585     0.00659     0.00475     0.00491     0.00518     0.00000     0.00000     0.00000     0.00000     0.00000     0.02143
    22.92685     0.00816     0.00594     0.00576     0.00643     0.00000     0.00000     0.00000     0.00000     0.00000     0.02628
    23.25685     0.01091     0.00818     0.00823     0.00813     0.00000     0.00000     0.00000     0.00000     0.00000     0.03545
    23.58785     0.01106     0.00858     0.00854     0.00855     0.00000     0.00000     0.00000     0.00000     0.00000     0.03673
    23.91785     0.01263     0.00934     0.01000     0.01033     0.00000     0.00000     0.00000     0.00000     0.00000     0.04230
    24.24885     0.01432     0.01066     0.01110     0.01127     0.00000     0.00000     0.00000     0.00000     0.00000     0.04734
    24.57885     0.01157     0.00946     0.00946     0.00920     0.00000     0.00000     0.00000     0.00000     0.00000     0.03970
    24.90985     0.01111     0.00826     0.00912     0.00859     0.00000     0.00000     0.00000     0.00000     0.00000     0.03708
    25.23985     0.01094     0.00876     0.00894     0.00900     0.00000     0.00000     0.00000     0.00000     0.00000     0.03763
    25.57085     0.00996     0.00801     0.00828     0.00868     0.00000     0.00000     0.00000     0.00000     0.00000     0.03493
    25.90085     0.01012     0.00832     0.00844     0.00872     0.00000     0.00000     0.00000     0.00000     0.00000     0.03560
    26.23085     0.00974     0.00825     0.00857     0.00881     0.00000     0.00000     0.00000     0.00000     0.00000     0.03537
    26.56185     0.00972     0.00806     0.00846     0.00864     0.00000     0.00000     0.00000     0.00000     0.00000     0.03487
    26.89185     0.00950     0.00815     0.00822     0.00852     0.00000     0.00000     0.00000     0.00000     0.00000     0.03439
    27.22285     0.00891     0.00731     0.00723     0.00736     0.00000     0.00000     0.00000     0.00000     0.00000     0.03081
    27.55285     0.00952     0.00775     0.00782     0.00786     0.00000     0.00000     0.00000     0.00000     0.00000     0.03294
    27.88385     0.00934     0.00809     0.00800     0.00845     0.00000     0.00000     0.00000     0.00000     0.00000     0.03389
    28.21385     0.00845     0.00704     0.00713     0.00731     0.00000     0.00000     0.00000     0.00000     0.00000     0.02993
    28.54485     0.00830     0.00670     0.00683     0.00709     0.00000     0.00000     0.00000     0.00000     0.00000     0.02892
    28.87485     0.00851     0.00710     0.00703     0.00736     0.00000     0.00000     0.00000     0.00000     0.00000     0.03000
    29.20585     0.00845     0.00673     0.00696     0.00724     0.00000     0.00000     0.00000     0.00000     0.00000     0.02937
    29.53585     0.00844     0.00687     0.00711     0.00751     0.00000     0.00000     0.00000     0.00000     0.00000     0.02993
    29.86685     0.00775     0.00658     0.00655     0.00674     0.00000     0.00000     0.00000     0.00000     0.00000     0.02762
    30.19685     0.00857     0.00683     0.00679     0.00738     0.00000     0.00000     0.00000     0.00000     0.00000     0.02957
    30.52785     0.00817     0.00651     0.00656     0.00687     0.00000     0.00000     0.00000     0.00000     0.00000     0.02811
    30.85785     0.00841     0.00677     0.00691     0.00722     0.00000     0.00000     0.00000     0.00000     0.00000     0.02931
    31.18885     0.00860     0.00698     0.00710     0.00717     0.00000     0.00000     0.00000     0.00000     0.00000     0.02985
    31.51885     0.00871     0.00689     0.00706     0.00701     0.00000     0.00000     0.00000     0.00000     0.00000     0.02967
    31.84985     0.00854     0.00671     0.00687     0.00708     0.00000     0.00000     0.00000     0.00000     0.00000     0.02920
    32.17985     0.00821     0.00663     0.00679     0.00654     0.00000     0.00000     0.00000     0.00000     0.00000     0.02818
    32.51085     0.00836     0.00632     0.00672     0.00651     0.00000     0.00000     0.00000     0.00000     0.00000     0.02791
    32.84085     0.00896     0.00675     0.00715     0.00695     0.00000     0.00000     0.00000     0.00000     0.00000     0.02981
    33.17185     0.00939     0.00699     0.00748     0.00706     0.00000     0.00000     0.00000     0.00000     0.00000     0.03092
    33.50185     0.00916     0.00692     0.00717     0.00690     0.00000     0.00000     0.00000     0.00000     0.00000     0.03015
    33.83285     0.00922     0.00654     0.00729     0.00681     0.00000     0.00000     0.00000     0.00000     0.00000     0.02986
    34.16285     0.01029     0.00728     0.00772     0.00741     0.00000     0.00000     0.00000     0.00000     0.00000     0.03270
    34.49385     0.01085     0.00788     0.00862     0.00805     0.00000     0.00000     0.00000     0.00000     0.00000     0.03540
    34.82385     0.01045     0.00741     0.00825     0.00767     0.00000     0.00000     0.00000     0.00000     0.00000     0.03379
    35.15385     0.01086     0.00772     0.00857     0.00773     0.00000     0.00000     0.00000     0.00000     0.00000     0.03488
    35.48485     0.01041     0.00722     0.00807     0.00753     0.00000     0.00000     0.00000     0.00000     0.00000     0.03323
    35.81485     0.01022     0.00718     0.00832     0.00761     0.00000     0.00000     0.00000     0.00000     0.00000     0.03333
    36.14585     0.01009     0.00722     0.00811     0.00735     0.00000     0.00000     0.00000     0.00000     0.00000     0.03278
    36.47585     0.01124     0.00757     0.00884     0.00771     0.00000     0.00000     0.00000     0.00000     0.00000     0.03537
    36.80685     0.01098     0.00736     0.00867     0.00755     0.00000     0.00000     0.00000     0.00000     0.00000     0.03457
    37.13685     0.01121     0.00758     0.00870     0.00788     0.00000     0.00000     0.00000     0.00000     0.00000     0.03537
    37.46785     0.01223     0.00827     0.00981     0.00854     0.00000     0.00000     0.00000     0.00000     0.00000     0.03885
    37.79785     0.01236     0.00812     0.00987     0.00844     0.00000     0.00000     0.00000     0.00000     0.00000     0.03879
    38.12885     0.01257     0.00845     0.01001     0.00854     0.00000     0.00000     0.00000     0.00000     0.00000     0.03957
    38.45885     0.01314     0.00854     0.01036     0.00896     0.00000     0.00000     0.00000     0.00000     0.00000     0.04100
    38.78985     0.01402     0.00911     0.01098     0.00955     0.00000     0.00000     0.00000     0.00000     0.00000     0.04366
    39.11985     0.01475     0.00957     0.01167     0.00984     0.00000     0.00000     0.00000     0.00000     0.00000     0.04584
    39.45085     0.01479     0.00962     0.01178     0.00965     0.00000     0.00000     0.00000     0.00000     0.00000     0.04583
    39.78085     0.01411     0.00918     0.01135     0.00954     0.00000     0.00000     0.00000     0.00000     0.00000     0.04418
    40.11185     0.01459     0.00951     0.01137     0.00975     0.00000     0.00000     0.00000     0.00000     0.00000     0.04521
    40.44185     0.01467     0.00941     0.01160     0.00929     0.00000     0.00000     0.00000     0.00000     0.00000     0.04497
    40.77285     0.01640     0.01049     0.01276     0.01069     0.00000     0.00000     0.00000     0.00000     0.00000     0.05035
    41.10285     0.01612     0.01019     0.01256     0.01027     0.00000     0.00000     0.00000     0.00000     0.00000     0.04913
    41.43385     0.01788     0.01132     0.01385     0.01161     0.00000     0.00000     0.00000     0.00000     0.00000     0.05466
    41.76385     0.01734     0.01077     0.01303     0.01080     0.00000     0.00000     0.00000     0.00000     0.00000     0.05194
