#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            12.85907            -0.00008
  0.0893            14.24744            -0.00007
  0.1786            15.53702             0.00022
  0.2679            16.68037             0.00025
  0.3571            17.65321             0.00002
  0.4464            18.45576             0.00005
  0.5357            19.10773             0.00039
  0.6250            19.63930             0.00048
  0.7143            20.08127             0.00031
  0.8036            20.45769             0.00044
  0.8929            20.78370             0.00091
  0.9821            21.06824             0.00118
  1.0714            21.31858             0.00120
  1.1607            21.54214             0.00159
  1.2500            21.74628             0.00245
  1.3393            21.93827             0.00324
  1.4286            22.12514             0.00391
  1.5179            22.31396             0.00514
  1.6071            22.51200             0.00713
  1.6964            22.72689             0.00940
  1.7857            22.96643             0.01204
  1.8750            23.23822             0.01590
  1.9643            23.54941             0.02136
  2.0536            23.90673             0.02816
  2.1429            24.31672             0.03669
  2.2321            24.78563             0.04836
  2.3214            25.31842             0.06425
  2.4107            25.91692             0.08492
  2.5000            26.57794             0.11169
  2.5893            27.29221             0.14730
  2.6786            28.04490             0.19471
  2.7679            28.81811             0.25711
  2.8571            29.59463             0.33935
  2.9464            30.36154             0.44874
  3.0357            31.11187             0.59391
  3.1250            31.84353             0.78553
  3.2143            32.55594             1.03880
  3.3036            33.24631             1.37561
  3.3929            33.90748             1.82412
  3.4821            34.52824             2.42006
  3.5714            35.09569             3.21006
  3.6607            35.59843             4.25644
  3.7500            36.02944             5.64009
  3.8393            36.38754             7.46567
  3.9286            36.67716             9.86425
  4.0179            36.90677            12.99330
  4.1071            37.08656            17.02783
  4.1964            37.22652            22.15425
  4.2857            37.33545            28.55396
  4.3750            37.42085            36.35350
  4.4643            37.48904            45.46246
  4.5536            37.54535            55.47705
  4.6429            37.59436            65.74548
  4.7321            37.64018            75.66301
  4.8214            37.68676            85.23500
  4.9107            37.73826            95.12200
  5.0000            37.79943           106.26551
  5.0893            37.87596           119.36424
  5.1786            37.97500           134.36008
  5.2679            38.10589           150.11629
  5.3571            38.28088           164.45015
  5.4464            38.51575           174.61162
  5.5357            38.83068           178.10472
  5.6250            39.25121           173.54655
  5.7143            39.80893           161.19681
  5.8036            40.54076           142.91918
  5.8929            41.48559           121.60501
  5.9821            42.67786           100.31812
  6.0714            44.13862            81.49638
  6.1607            45.86627            66.44678
  6.2500            47.83129            55.24565
  6.3393            49.97843            47.05271
  6.4286            52.23507            40.75190
  6.5179            54.52060            35.56633
  6.6071            56.75288            31.29320
  6.6964            58.85311            27.94446
  6.7857            60.75303            25.51831
  6.8750            62.40436            23.99800
  6.9643            63.78578            23.35859
  7.0536            64.90299            23.60242
  7.1429            65.78185            24.75540
  7.2321            66.45884            26.86139
  7.3214            66.97269            29.94267
  7.4107            67.35878            33.97419
  7.5000            67.64671            38.89828
  7.5893            67.86010            44.66499
  7.6786            68.01746            51.24875
  7.7679            68.13312            58.61309
  7.8571            68.21795            66.59907
  7.9464            68.28003            74.81289
  8.0357            68.32527            82.62775
  8.1250            68.35803            89.28335
  8.2143            68.38153            94.08618
  8.3036            68.39807            96.65099
  8.3929            68.40930            97.06516
  8.4821            68.41634            95.86348
  8.5714            68.41991            93.79164
  8.6607            68.42043            91.45714
  8.7500            68.41799            89.05111
  8.8393            68.41251            86.29690
  8.9286            68.40358            82.64681
  9.0179            68.39051            77.59452
  9.1071            68.37227            70.93052
  9.1964            68.34740            62.84317
  9.2857            68.31395            53.87680
  9.3750            68.26927            44.76185
  9.4643            68.20986            36.20289
  9.5536            68.13118            28.70045
  9.6429            68.02740            22.47418
  9.7321            67.89130            17.49481
  9.8214            67.71416            13.61578
  9.9107            67.48579            10.67600
 10.0000            67.19501             8.52404
 10.0893            66.83135             7.03798
 10.1786            66.38756             6.12601
 10.2679            65.86161             5.72779
 10.3571            65.25632             5.82215
 10.4464            64.57445             6.43759
 10.5357            63.81348             7.64667
 10.6250            62.96336             9.56662
 10.7143            62.00845            12.38014
 10.8036            60.93358            16.36122
 10.8929            59.73265            21.87276
 10.9821            58.41705            29.35947
 11.0714            57.02016            39.36654
 11.1607            55.59532            52.56631
 11.2500            54.20695            69.71451
 11.3393            52.91737            91.47834
 11.4286            51.77402           118.10465
